U+3007	〇	xxxxx
U+4E00	一	m
U+4E01	丁	mn
U+4E02	丂	mvs
U+4E03	七	ju,jv
U+4E04	丄	lm
U+4E05	丅	ml
U+4E06	丆	mh
U+4E07	万	ms
U+4E08	丈	jk
U+4E09	三	mmm
U+4E0A	上	ym
U+4E0B	下	my
U+4E0C	丌	ml
U+4E0D	不	mf
U+4E0E	与	ysm
U+4E0F	丏	mlvs
U+4E10	丐	myvs
U+4E11	丑	ng
U+4E12	丒	skm
U+4E13	专	qni
U+4E14	且	bm
U+4E15	丕	mfm
U+4E16	世	pt
U+4E17	丗	tj,tl
U+4E18	丘	om
U+4E19	丙	mob
U+4E1A	业	tc
U+4E1B	丛	oom
U+4E1C	东	kd
U+4E1D	丝	vvm
U+4E1E	丞	nem
U+4E1F	丟	mgi
U+4E20	丠	lpm
U+4E21	両	mub
U+4E22	丢	hgi
U+4E23	丣	mlls
U+4E24	两	moob
U+4E25	严	mtch
U+4E26	並	ttc,ttm
U+4E27	丧	gcv
U+4E28	丨	l
U+4E29	丩	vl
U+4E2A	个	ol
U+4E2B	丫	cl
U+4E2C	丬	lim
U+4E2D	中	l
U+4E2E	丮	nq
U+4E2F	丯	qk
U+4E30	丰	qj
U+4E31	丱	vlllm
U+4E32	串	ll
U+4E33	丳	llww
U+4E34	临	lloa
U+4E35	丵	tctj
U+4E36	丶	i
U+4E37	丷	ih
U+4E38	丸	kni,knk
U+4E39	丹	by
U+4E3A	为	iksi
U+4E3B	主	yg
U+4E3C	丼	tti
U+4E3D	丽	mbib,mmbib
U+4E3E	举	fcq
U+4E3F	丿	h
U+4E40	乀	mo
U+4E41	乁	mo
U+4E42	乂	k
U+4E43	乃	nhs
U+4E44	乄	kv
U+4E45	久	no
U+4E46	乆	vo
U+4E47	乇	hp
U+4E48	么	hi
U+4E49	义	ik
U+4E4A	乊	hc
U+4E4B	之	ino
U+4E4C	乌	pvsm
U+4E4D	乍	os
U+4E4E	乎	hfd
U+4E4F	乏	hino
U+4E50	乐	hvd
U+4E51	乑	ohho
U+4E52	乒	omh
U+4E53	乓	omi
U+4E54	乔	hkll
U+4E55	乕	hqb
U+4E56	乖	hjlp
U+4E57	乗	hdt
U+4E58	乘	hdlp
U+4E59	乙	nu
U+4E5A	乚	lu,vl
U+4E5B	乛	mh
U+4E5C	乜	pn,ps
U+4E5D	九	kn
U+4E5E	乞	on
U+4E5F	也	pd
U+4E60	习	sim
U+4E61	乡	vvh
U+4E62	乢	uu
U+4E63	乣	viu
U+4E64	乤	myn
U+4E65	乥	hcn
U+4E66	书	ids
U+4E67	乧	yjn
U+4E68	乨	iru
U+4E69	乩	yru
U+4E6A	乪	nw
U+4E6B	乫	krn
U+4E6C	乬	ssn
U+4E6D	乭	mrn
U+4E6E	乮	hln
U+4E6F	乯	hdn
U+4E70	买	nyk
U+4E71	乱	hru
U+4E72	乲	ion,mon
U+4E73	乳	bdu
U+4E74	乴	qln
U+4E75	乵	yju
U+4E76	乶	ibn
U+4E77	乷	ehn
U+4E78	乸	pdwyi
U+4E79	乹	jju
U+4E7A	乺	hln
U+4E7B	乻	yyn
U+4E7C	乼	egn
U+4E7D	乽	jan
U+4E7E	乾	jjon
U+4E7F	乿	bfu
U+4E80	亀	nwlu
U+4E81	亁	jjon
U+4E82	亂	bbu
U+4E83	亃	fqu
U+4E84	亄	gtu
U+4E85	亅	n
U+4E86	了	nn
U+4E87	亇	nn,on
U+4E88	予	ninn
U+4E89	争	nsd
U+4E8A	亊	jfln
U+4E8B	事	jlln
U+4E8C	二	mm
U+4E8D	亍	mmn
U+4E8E	于	md
U+4E8F	亏	mmvs
U+4E90	亐	mjs
U+4E91	云	mmi
U+4E92	互	mvnm
U+4E93	亓	mml
U+4E94	五	mdm
U+4E95	井	tt
U+4E96	亖	mmmm
U+4E97	亗	umm
U+4E98	亘	mam
U+4E99	亙	mbm
U+4E9A	亚	mtc
U+4E9B	些	ypmm
U+4E9C	亜	mllm
U+4E9D	亝	iiim
U+4E9E	亞	mllm
U+4E9F	亟	mem,nem
U+4EA0	亠	im
U+4EA1	亡	yv
U+4EA2	亢	yhn
U+4EA3	亣	yll
U+4EA4	交	yck
U+4EA5	亥	yvho
U+4EA6	亦	ylnc
U+4EA7	产	yth
U+4EA8	亨	yrnn
U+4EA9	亩	yw
U+4EAA	亪	ycmo
U+4EAB	享	yrnd
U+4EAC	京	yrf
U+4EAD	亭	yrbn
U+4EAE	亮	yrbn,yrbu
U+4EAF	亯	yra
U+4EB0	亰	yaf
U+4EB1	亱	yoam
U+4EB2	亲	ytd
U+4EB3	亳	yrbp
U+4EB4	亴	yrbn
U+4EB5	亵	yqiv,yqkv
U+4EB6	亶	ywrm
U+4EB7	亷	yhxc
U+4EB8	亸	ydcwj
U+4EB9	亹	yhbm
U+4EBA	人	o
U+4EBB	亻	hl
U+4EBC	亼	om
U+4EBD	亽	oi
U+4EBE	亾	vo
U+4EBF	亿	on
U+4EC0	什	oj
U+4EC1	仁	omm
U+4EC2	仂	oks
U+4EC3	仃	omn
U+4EC4	仄	mo
U+4EC5	仅	oe
U+4EC6	仆	oy
U+4EC7	仇	okn
U+4EC8	仈	oc
U+4EC9	仉	ohn
U+4ECA	今	oin
U+4ECB	介	oll
U+4ECC	仌	oo
U+4ECD	仍	onhs
U+4ECE	从	oo
U+4ECF	仏	oi
U+4ED0	仐	oj
U+4ED1	仑	op
U+4ED2	仒	oy
U+4ED3	仓	osu
U+4ED4	仔	ond
U+4ED5	仕	og
U+4ED6	他	opd
U+4ED7	仗	ojk
U+4ED8	付	odi
U+4ED9	仙	ou
U+4EDA	仚	ou
U+4EDB	仛	ohp
U+4EDC	仜	om
U+4EDD	仝	om
U+4EDE	仞	oshh,oshi
U+4EDF	仟	ohj
U+4EE0	仠	omj
U+4EE1	仡	oon
U+4EE2	仢	opi,opm
U+4EE3	代	oip
U+4EE4	令	oini,omsl
U+4EE5	以	vio
U+4EE6	仦	of
U+4EE7	仧	ymo
U+4EE8	仨	ommm
U+4EE9	仩	oym
U+4EEA	仪	oik
U+4EEB	仫	ohi
U+4EEC	们	olis
U+4EED	仭	osk
U+4EEE	仮	ohe,ome
U+4EEF	仯	ofh
U+4EF0	仰	ohvl
U+4EF1	仱	ooin
U+4EF2	仲	ol
U+4EF3	仳	opp
U+4EF4	仴	ob
U+4EF5	仵	ooj
U+4EF6	件	ohq
