U+2F800	丽	zcmmb
U+2F801	丸	zcknk
U+2F802	乁	zcmo
U+2F803	𠄢	zcmbv
U+2F804	你	zcoof
U+2F805	侮	zcoow
U+2F806	侻	zcocr
U+2F807	倂	zcoyj
U+2F808	偺	zcohy
U+2F809	備	zcotm
U+2F80A	僧	zcocw
U+2F80B	像	zconb
U+2F80C	㒞	zcoug
U+2F80D	𠘺	zcyih
U+2F80E	免	zcsha
U+2F80F	兔	zcsha
U+2F810	兤	zcfui
U+2F811	具	zcbum
U+2F812	𠔜	zchxl
U+2F813	㒹	zcpcp
U+2F814	內	zcob
U+2F815	再	zcmgb
U+2F816	𠕋	zcbbm
U+2F817	冗	zcbhu
U+2F818	冤	zcbsh
U+2F819	仌	zcoo
U+2F81A	冬	zchei
U+2F81B	况	zcmmr
U+2F81C	𩇟	zcimq
U+2F81D	凵	zcvl
U+2F81E	刃	zcsk
U+2F81F	㓟	zcdel
U+2F820	刻	zcyol
U+2F821	剆	zcivl
U+2F822	割	zcjrl
U+2F823	剷	zcyml
U+2F824	㔕	zconk
U+2F825	勇	zcnwk
U+2F826	勉	zcnuk
U+2F827	勤	zctmk
U+2F828	勺	zcpm
U+2F829	包	zcpsu
U+2F82A	匆	zcpkk
U+2F82B	北	zclmp
U+2F82C	卉	zcjt
U+2F82D	卑	zchwh
U+2F82E	博	zcjij
U+2F82F	即	zcaps
U+2F830	卽	zchps
U+2F831	卿	zchha
U+2F832	卿	zchhh
U+2F833	卿	zchhh
U+2F834	𠨬	zchp
U+2F835	灰	zcmf
U+2F836	及	zcnhe
U+2F837	叟	zclwl
U+2F838	𠭣	zcnoe
U+2F839	叫	zcrvl
U+2F83A	叱	zcrp
U+2F83B	吆	zcrhi
U+2F83C	咞	zcrmt
U+2F83D	吸	zcrnh
U+2F83E	呈	zcrmg
U+2F83F	周	zcbqr
U+2F840	咢	zcrrm
U+2F841	哶	zcrtq
U+2F842	唐	zcijs,zcilr
U+2F843	啓	zcikr
U+2F844	啣	zcrou
U+2F845	善	zcttr
U+2F846	善	zctgt
U+2F847	喙	zcrnm
U+2F848	喫	zcrqh
U+2F849	喳	zcrdb
U+2F84A	嗂	zcrbo
U+2F84B	圖	zcwrj
U+2F84C	嘆	zcrta
U+2F84D	圗	zcwiy
U+2F84E	噑	zcrha
U+2F84F	噴	zcrjt
U+2F850	切	zcgsh
U+2F851	壮	zclmg
U+2F852	城	zcgih
U+2F853	埴	zcgpb
U+2F854	堍	zcgsh
U+2F855	型	zcmng
U+2F856	堲	zchlg
U+2F857	報	zcgjr
U+2F858	墬	zcnog
U+2F859	𡓤	zcgho
U+2F85A	売	zcgbh
U+2F85B	壷	zcgbt
U+2F85C	夆	zcheq
U+2F85D	多	zcnin
U+2F85E	夢	zctwl
U+2F85F	奢	zckjk
U+2F860	𡚨	zcvp
U+2F861	𡛪	zcvku
U+2F862	姬	zcvsl
U+2F863	娛	zcvrv
U+2F864	娧	zcvcr
U+2F865	姘	zcvyj
U+2F866	婦	zcvsm
U+2F867	㛮	zcvjc
U+2F868	㛼	zcvmj
U+2F869	嬈	zcvgg
U+2F86A	嬾	zcvdl
U+2F86B	嬾	zcvdl
U+2F86C	𡧈	zcjmm
U+2F86D	寃	zcjsh
U+2F86E	寘	zcjpb
U+2F86F	寧	zcjpw
U+2F870	寳	zcjmf
U+2F871	𡬘	zcshj
U+2F872	寿	zcqkd
U+2F873	将	zclmb
U+2F874	当	zcfsm
U+2F875	尢	zcku
U+2F876	㞁	zckua
U+2F877	屠	zcsjk
U+2F878	屮	zcuh,zcul
U+2F879	峀	zculw
U+2F87A	岍	zcumj
U+2F87B	𡷤	zcurv
U+2F87C	嵃	zcuyh
U+2F87D	𡷦	zchlu
U+2F87E	嵮	zcupb
U+2F87F	嵫	zcutv
U+2F880	嵼	zcuyh
U+2F881	巡	zcyvv
U+2F882	巢	zcvvh
U+2F883	㠯	zclss
U+2F884	巽	zcrut
U+2F885	帨	zclbc
U+2F886	帽	zclba
U+2F887	幩	zclbj
U+2F888	㡢	zclba
U+2F889	𢆃	zclbt
U+2F88A	㡼	zcilw
U+2F88B	庰	zciyj
U+2F88C	庳	zciwl
U+2F88D	庶	zcitf
U+2F88E	廊	zcihv
U+2F88F	𪎒	zcidh
U+2F890	廾	zcjj
U+2F891	𢌱	zcymt
U+2F892	𢌱	zcymt
