U+F900	豈	zcumr
U+F901	更	zcmlw
U+F902	車	zcjwj
U+F903	賈	zcmwb
U+F904	滑	zcebb
U+F905	串	zcll
U+F906	句	zcpr
U+F907	龜	zchxu,zcnxu
U+F908	龜	zcnxu
U+F909	契	zcqhk
U+F90A	金	zcc
U+F90B	喇	zcrdl
U+F90C	奈	zckmm
U+F90D	懶	zcldl
U+F90E	癩	zckdl
U+F90F	羅	zcwlv
U+F910	蘿	zctwl
U+F911	螺	zcliw
U+F912	裸	zclwd
U+F913	邏	zcywl
U+F914	樂	zcvid
U+F915	洛	zcehe
U+F916	烙	zcfhe
U+F917	珞	zchgh
U+F918	落	zcteh
U+F919	酪	zcmwh
U+F91A	駱	zcsfh
U+F91B	亂	zcbbu
U+F91C	卵	zchhs
U+F91D	欄	zcdan
U+F91E	爛	zcfan
U+F91F	蘭	zctan
U+F920	鸞	zcvfh
U+F921	嵐	zcuhn
U+F922	濫	zcesm
U+F923	藍	zctsm
U+F924	襤	zclsm
U+F925	拉	zcqyt
U+F926	臘	zcbvv
U+F927	蠟	zcliv
U+F928	廊	zciiv
U+F929	朗	zcivb
U+F92A	浪	zceia
U+F92B	狼	zckhi
U+F92C	郎	zcivn
U+F92D	來	zcdoo
U+F92E	冷	zcimo
U+F92F	勞	zcffb
U+F930	擄	zcqyp
U+F931	櫓	zcdnw
U+F932	爐	zcfyp
U+F933	盧	zcypw
U+F934	老	zcjkp
U+F935	蘆	zctyp
U+F936	虜	zcypw
U+F937	路	zcrmh
U+F938	露	zcmbr
U+F939	魯	zcnwf
U+F93A	鷺	zcrrh
U+F93B	碌	zcmrv
U+F93C	祿	zcmfv
U+F93D	綠	zcvfn
U+F93E	菉	zctvn
U+F93F	錄	zccvn
U+F940	鹿	zcixp
U+F941	論	zcyro
U+F942	壟	zcypg
U+F943	弄	zcmgt
U+F944	籠	zchyb
U+F945	聾	zcyps
U+F946	牢	zcjhq
U+F947	磊	zcmrm
U+F948	賂	zcbch
U+F949	雷	zcmbw
U+F94A	壘	zcwww
U+F94B	屢	zcsll
U+F94C	樓	zcdll
U+F94D	淚	zcehs
U+F94E	漏	zcesm
U+F94F	累	zcwvi
U+F950	縷	zcvfl
U+F951	陋	zcnlm
U+F952	勒	zctjk
U+F953	肋	zcbks
U+F954	凜	zcimy
U+F955	凌	zcimg
U+F956	稜	zchdg
U+F957	綾	zcvfg
U+F958	菱	zctgc
U+F959	陵	zcnlg
U+F95A	讀	zcyrg
U+F95B	拏	zcveq
U+F95C	樂	zcvid
U+F95D	諾	zcyrt
U+F95E	丹	zcby
U+F95F	寧	zcjpb
U+F960	怒	zcvep
U+F961	率	zcyio
U+F962	異	zcwtc
U+F963	北	zclmp
U+F964	磻	zcmrh
U+F965	便	zcoml
U+F966	復	zchoo
U+F967	不	zcmf
U+F968	泌	zceph
