U+3400	㐀	tm,xxtm
U+3401	㐁	mow
U+3402	㐂	ppp,xppp
U+3403	㐃	il,oml
U+3404	㐄	ls,ql,qv,xls
U+3405	㐅	k,xxk
U+3406	㐆	hsms
U+3407	㐇	knn,xknn
U+3408	㐈	on,xxxon
U+3409	㐉	mnn
U+340A	㐊	gn
U+340B	㐋	gn,xgn
U+340C	㐌	opd,xxopd
U+340D	㐍	bn,xbn
U+340E	㐎	ykn
U+340F	㐏	mmn,xxmmn
U+3410	㐐	ven,xven
U+3411	㐑	heyn,hyn
U+3412	㐒	shrn
U+3413	㐓	mrn,xmrn
U+3414	㐔	yrn
U+3415	㐕	lwn
U+3416	㐖	gru,xgru
U+3417	㐗	jpn
U+3418	㐘	fdn
U+3419	㐙	mrtn
U+341A	㐚	mmrn
U+341B	㐛	orn
U+341C	㐜	iekn
U+341D	㐝	qrn
U+341E	㐞	tcn
U+341F	㐟	lyn
U+3420	㐠	bun
U+3421	㐡	knmbk
U+3422	㐢	edn
U+3423	㐣	ijjn
U+3424	㐤	knjbc,knpbc
U+3425	㐥	csn
U+3426	㐦	hcqn
U+3427	㐧	idnh
U+3428	㐨	nnnin
U+3429	㐩	tttt
U+342A	㐪	ku,xyuo,yuo
U+342B	㐫	yuk
U+342C	㐬	xyihu,yihlu,yihlv,yihu,yihv
U+342D	㐭	xywr,ywr
U+342E	㐮	ycttv
U+342F	㐯	yrra
U+3430	㐰	or
U+3431	㐱	ohhh
U+3432	㐲	ok,xxok
U+3433	㐳	omu,xomu
U+3434	㐴	oni
U+3435	㐵	omd,xomd
U+3436	㐶	oru
U+3437	㐷	onvm
U+3438	㐸	ono
U+3439	㐹	oomn,xoomn
U+343A	㐺	ooo,xooo
U+343B	㐻	oob
U+343C	㐼	oht
U+343D	㐽	ohnk
U+343E	㐾	ommu
U+343F	㐿	oq,xoq
U+3440	㑀	oki
U+3441	㑁	ouu
U+3442	㑂	omob,xomob
U+3443	㑃	ovis
U+3444	㑄	owyi,xowyi
U+3445	㑅	ooym
U+3446	㑆	orhu,xorhu
U+3447	㑇	onsm
U+3448	㑈	okd
U+3449	㑉	ohnn
U+344A	㑊	oylc
U+344B	㑋	otw
U+344C	㑌	osmg
U+344D	㑍	oqd
U+344E	㑎	ovvu
U+344F	㑏	ojdi
U+3450	㑐	oymf
U+3451	㑑	ohbu
U+3452	㑒	omlo
U+3453	㑓	oike
U+3454	㑔	ombo
U+3455	㑕	ouni
U+3456	㑖	ool
U+3457	㑗	ohxh
U+3458	㑘	oit
U+3459	㑙	osju
U+345A	㑚	osql
U+345B	㑛	odl
U+345C	㑜	oqhl
U+345D	㑝	omgt
U+345E	㑞	oft
U+345F	㑟	oomc
U+3460	㑠	oleg
U+3461	㑡	oail,ohpl,ohsl
U+3462	㑢	ogil
U+3463	㑣	odd
U+3464	㑤	otw,xotw
U+3465	㑥	oaph
U+3466	㑦	ohsk,oisk,xohsk
U+3467	㑧	ohdd
U+3468	㑨	orok
U+3469	㑩	owln
U+346A	㑪	oykl,xoykl
U+346B	㑫	ooip
U+346C	㑬	ovjr
U+346D	㑭	owml
U+346E	㑮	objj
U+346F	㑯	ombc
U+3470	㑰	ovno,xxovn
U+3471	㑱	onhd
U+3472	㑲	ojbj
U+3473	㑳	opuu
U+3474	㑴	osme,xxosm
U+3475	㑵	okok
U+3476	㑶	oond
U+3477	㑷	oibp
U+3478	㑸	ojrr,xojrr
U+3479	㑹	omwa,xomwa
U+347A	㑺	oogs,xoogs
U+347B	㑻	ojpu,xojpu
U+347C	㑼	owhr
U+347D	㑽	ofbg
U+347E	㑾	obyr
U+347F	㑿	ovvd
U+3480	㒀	oycb
U+3481	㒁	owgj
U+3482	㒂	otja
U+3483	㒃	oipc
U+3484	㒄	obkf
U+3485	㒅	oynv
U+3486	㒆	oorm
U+3487	㒇	ootf
U+3488	㒈	omjk,onjk
U+3489	㒉	ofbd
U+348A	㒊	oshm,osim
U+348B	㒋	otcl
U+348C	㒌	offn
U+348D	㒍	oiif
U+348E	㒎	ohky,omky
U+348F	㒏	ojtm,ojty
U+3490	㒐	ohpa
U+3491	㒑	oseg
U+3492	㒒	otcd
U+3493	㒓	oygq
U+3494	㒔	owli
U+3495	㒕	oyvg
U+3496	㒖	otwb
U+3497	㒗	otbg
U+3498	㒘	oset
U+3499	㒙	ovfb
U+349A	㒚	obmp
U+349B	㒛	osmg
U+349C	㒜	ohxc
U+349D	㒝	otwi,xotwi
U+349E	㒞	ouos
U+349F	㒟	oysv
U+34A0	㒠	oyem
U+34A1	㒡	obuf
U+34A2	㒢	oomb,xoomb
U+34A3	㒣	oiop
U+34A4	㒤	osjj
U+34A5	㒥	oujt
U+34A6	㒦	owwg
U+34A7	㒧	oybg
U+34A8	㒨	ohxu,xohxu
U+34A9	㒩	ovoi
U+34AA	㒪	osso
U+34AB	㒫	mymu,xmymu
U+34AC	㒬	mumg,xmumg
U+34AD	㒭	rurhu
U+34AE	㒮	mumso,xmums
U+34AF	㒯	futmj
U+34B0	㒰	om
U+34B1	㒱	oni,xoni
U+34B2	㒲	oa
U+34B3	㒳	bloo
U+34B4	㒴	ouu,xouu
U+34B5	㒵	hac
U+34B6	㒶	cha,xcha
U+34B7	㒷	bomc
U+34B8	㒸	cmso,tpho
U+34B9	㒹	jcjbc,jcjuc,pcpbc,xjcjb
U+34BA	㒺	btvo
U+34BB	㒻	abuu,xabuu
U+34BC	㒼	tlbo
U+34BD	㒽	afqu
U+34BE	㒾	aysd,xaysd
U+34BF	㒿	aybg
U+34C0	㓀	by,xby
U+34C1	㓁	bc
U+34C2	㓂	bmuv
U+34C3	㓃	byrp
U+34C4	㓄	ihlbu
U+34C5	㓅	immn
U+34C6	㓆	imop
U+34C7	㓇	imhk
U+34C8	㓈	immr
U+34C9	㓉	imhjr
U+34CA	㓊	imbmr
U+34CB	㓋	imtc
U+34CC	㓌	imomg
U+34CD	㓍	imyiu
U+34CE	㓎	imsme
