U+20000	𠀀	mls
U+20001	𠀁	js,ks
U+20002	𠀂	mn
U+20003	𠀃	bm
U+20004	𠀄	nlm
U+20005	𠀅	mvks
U+20006	𠀆	kj
U+20007	𠀇	bmm
U+20008	𠀈	onnm
U+20009	𠀉	omm
U+2000A	𠀊	kni
U+2000B	𠀋	ijk
U+2000C	𠀌	nmlm
U+2000D	𠀍	pt
U+2000E	𠀎	tt
U+2000F	𠀏	pum
U+20010	𠀐	lm
U+20011	𠀑	mbc,mbv
U+20012	𠀒	mcmvs
U+20013	𠀓	nlm
U+20014	𠀔	mvho
U+20015	𠀕	mvnm
U+20016	𠀖	ti
U+20017	𠀗	th
U+20018	𠀘	mumu
U+20019	𠀙	mmbb
U+2001A	𠀚	mif
U+2001B	𠀛	mkb
U+2001C	𠀜	mtc
U+2001D	𠀝	myym
U+2001E	𠀞	mnmln
U+2001F	𠀟	dnvs
U+20020	𠀠	tk
U+20021	𠀡	mhgu
U+20022	𠀢	mymp
U+20023	𠀣	mlnm
U+20024	𠀤	kkm
U+20025	𠀥	mlam
U+20026	𠀦	mill
U+20027	𠀧	aummm
U+20028	𠀨	mynhe
U+20029	𠀩	msmn
U+2002A	𠀪	tmmi
U+2002B	𠀫	tmh
U+2002C	𠀬	mowo
U+2002D	𠀭	hds,mds
U+2002E	𠀮	mcwk
U+2002F	𠀯	mwe
U+20030	𠀰	mffh
U+20031	𠀱	mfck
U+20032	𠀲	mnnin
U+20033	𠀳	vomy
U+20034	𠀴	uumy
U+20035	𠀵	mnbmh
U+20036	𠀶	mfhqo
U+20037	𠀷	mrbt
U+20038	𠀸	mben
U+20039	𠀹	mcbmr
U+2003A	𠀺	mlhn
U+2003B	𠀻	mmuu
U+2003C	𠀼	muk
U+2003D	𠀽	jhike
U+2003E	𠀾	mfomi
U+2003F	𠀿	myrno
U+20040	𠁀	ptoip
U+20041	𠁁	rrlm
U+20042	𠁂	jamn
U+20043	𠁃	mfdl
U+20044	𠁄	obmy
U+20045	𠁅	mgpkk
U+20046	𠁆	mfjbm,mfjbv
U+20047	𠁇	mfjbm
U+20048	𠁈	mnmjr
U+20049	𠁉	mhng
U+2004A	𠁊	jook
U+2004B	𠁋	mfdw
U+2004C	𠁌	mfsjl
U+2004D	𠁍	mftgk
U+2004E	𠁎	yjmy
U+2004F	𠁏	mrbm
U+20050	𠁐	mrbm
U+20051	𠁑	kbmy
U+20052	𠁒	mfjbc,mfpbc
U+20053	𠁓	mfcro
U+20054	𠁔	tclws
U+20055	𠁕	jbmlm
U+20056	𠁖	mmbbl
U+20057	𠁗	jak,jmak
U+20058	𠁘	mlhn
U+20059	𠁙	mfyrs
U+2005A	𠁚	myoma
U+2005B	𠁛	mfytu
U+2005C	𠁜	tcnbs
U+2005D	𠁝	tcihr
U+2005E	𠁞	mfoma
U+2005F	𠁟	tccmc,tchhc,tctxc
U+20060	𠁠	bmbmm
U+20061	𠁡	ln
U+20062	𠁢	ln
U+20063	𠁣	al
U+20064	𠁤	cw
U+20065	𠁥	ool
U+20066	𠁦	ls
U+20067	𠁧	lsl
U+20068	𠁨	sml
U+20069	𠁩	lmms
U+2006A	𠁪	hgl
U+2006B	𠁫	vlod
U+2006C	𠁬	tnll
U+2006D	𠁭	olol
U+2006E	𠁮	oolx
