U+2A700	𪜀	tn
U+2A701	𪜁	msl
U+2A702	𪜂	mkni,mknk
U+2A703	𪜃	jllu
U+2A704	𪜄	mfmnr
U+2A705	𪜅	ditt
U+2A706	𪜆	minq
U+2A707	𪜇	msomo
U+2A708	𪜈	lmp
U+2A709	𪜉	lmfj
U+2A70A	𪜊	in
U+2A70B	𪜋	ygjp
U+2A70C	𪜌	nsa
U+2A70D	𪜍	hjlmo
U+2A70E	𪜎	hlyhn
U+2A70F	𪜏	hktu
U+2A710	𪜐	nop
U+2A711	𪜑	djn
U+2A712	𪜒	ngr
U+2A713	𪜓	oqn
U+2A714	𪜔	kntw
U+2A715	𪜕	jau
U+2A716	𪜖	njwsl,nkwsl
U+2A717	𪜗	knirm
U+2A718	𪜘	mrnde
U+2A719	𪜙	knmat
U+2A71A	𪜚	endk
U+2A71B	𪜛	bdukb
U+2A71C	𪜜	lmpnn
U+2A71D	𪜝	nntmc
U+2A71E	𪜞	miqkd
U+2A71F	𪜟	yimmi,ykmmi
U+2A720	𪜠	yhni
U+2A721	𪜡	vlyv
U+2A722	𪜢	yla
U+2A723	𪜣	yciop
U+2A724	𪜤	yoog
U+2A725	𪜥	ywrs
U+2A726	𪜦	ynhhw,ynhlw
U+2A727	𪜧	ok
U+2A728	𪜨	omv
U+2A729	𪜩	opi
U+2A72A	𪜪	opp
U+2A72B	𪜫	ong
U+2A72C	𪜬	ojd
U+2A72D	𪜭	ows
U+2A72E	𪜮	obu
U+2A72F	𪜯	orks
U+2A730	𪜰	ohd
U+2A731	𪜱	ohd
U+2A732	𪜲	ohmy
U+2A733	𪜳	orvp
U+2A734	𪜴	oni
U+2A735	𪜵	opa
U+2A736	𪜶	owk
U+2A737	𪜷	onsd
U+2A738	𪜸	ojnd
U+2A739	𪜹	osmm
U+2A73A	𪜺	ovmi
U+2A73B	𪜻	oglc
U+2A73C	𪜼	oqhq
U+2A73D	𪜽	owg
U+2A73E	𪜾	obms
U+2A73F	𪜿	oav
U+2A740	𪝀	onbg,onbq
U+2A741	𪝁	osrp
U+2A742	𪝂	oyam
U+2A743	𪝃	odei
U+2A744	𪝄	okcs
U+2A745	𪝅	odok
U+2A746	𪝆	otys
U+2A747	𪝇	oluk
U+2A748	𪝈	obbe
U+2A749	𪝉	ohed,ookd
U+2A74A	𪝊	oihi,oihm
U+2A74B	𪝋	odbu
U+2A74C	𪝌	otw
U+2A74D	𪝍	ojrb
U+2A74E	𪝎	odoi,odol
U+2A74F	𪝏	omur
U+2A750	𪝐	omad
U+2A751	𪝑	oabt
U+2A752	𪝒	ohje
U+2A753	𪝓	oomb
U+2A754	𪝔	onup
U+2A755	𪝕	ocst
U+2A756	𪝖	ombc
U+2A757	𪝗	doihu
U+2A758	𪝘	oykb
U+2A759	𪝙	ogit
U+2A75A	𪝚	oafu
U+2A75B	𪝛	ohse
U+2A75C	𪝜	ohrb
U+2A75D	𪝝	obtk
U+2A75E	𪝞	ocmt,otct
U+2A75F	𪝟	onhh,onmm
U+2A760	𪝠	ojji
U+2A761	𪝡	otak
U+2A762	𪝢	owlv
U+2A763	𪝣	ojkr
U+2A764	𪝤	ojmc
U+2A765	𪝥	ombb
U+2A766	𪝦	ogrr
U+2A767	𪝧	oaff
U+2A768	𪝨	onqd
U+2A769	𪝩	otqw
U+2A76A	𪝪	orsl,orsn
U+2A76B	𪝫	omte
U+2A76C	𪝬	omrj
U+2A76D	𪝭	oypk
U+2A76E	𪝮	oyru
U+2A76F	𪝯	oyti
U+2A770	𪝰	omgf
U+2A771	𪝱	ougl,ougn
U+2A772	𪝲	hfoyg
U+2A773	𪝳	oeto
U+2A774	𪝴	oymu
U+2A775	𪝵	ohcn
U+2A776	𪝶	oinp
U+2A777	𪝷	ombu
U+2A778	𪝸	otmk
U+2A779	𪝹	ohbh,oibh
U+2A77A	𪝺	ombe
U+2A77B	𪝻	onemw
U+2A77C	𪝼	obcv
U+2A77D	𪝽	oycc
U+2A77E	𪝾	osha
U+2A77F	𪝿	uahu
U+2A780	𪞀	funl,funn
U+2A781	𪞁	nui
U+2A782	𪞂	nuaj
U+2A783	𪞃	fuahm
U+2A784	𪞄	hurck,hurtk
U+2A785	𪞅	yutir
U+2A786	𪞆	fuyed
U+2A787	𪞇	ogcsh
U+2A788	𪞈	cwj
U+2A789	𪞉	grtc
U+2A78A	𪞊	cycb
U+2A78B	𪞋	ahtc
U+2A78C	𪞌	cwywr
U+2A78D	𪞍	ccomr,hcomr,tcomr
U+2A78E	𪞎	bjr
U+2A78F	𪞏	bniu
U+2A790	𪞐	bcnd
U+2A791	𪞑	bcl
U+2A792	𪞒	bmuj
U+2A793	𪞓	boiv
U+2A794	𪞔	bcsje
U+2A795	𪞕	bmus
U+2A796	𪞖	imhni
U+2A797	𪞗	imob
U+2A798	𪞘	imoin
U+2A799	𪞙	imyk
U+2A79A	𪞚	imso
U+2A79B	𪞛	imw
U+2A79C	𪞜	imha
U+2A79D	𪞝	imeq
U+2A79E	𪞞	imihs
U+2A79F	𪞟	jroy
U+2A7A0	𪞠	imoin,imoln
U+2A7A1	𪞡	imomf
U+2A7A2	𪞢	immgg
U+2A7A3	𪞣	imypn,imypu
U+2A7A4	𪞤	imoip
U+2A7A5	𪞥	imjmf
U+2A7A6	𪞦	imwb
U+2A7A7	𪞧	imoin,imoln
U+2A7A8	𪞨	imyrn
U+2A7A9	𪞩	imsog
U+2A7AA	𪞪	imckc
U+2A7AB	𪞫	imdlk
U+2A7AC	𪞬	imytj
U+2A7AD	𪞭	imggu
U+2A7AE	𪞮	immbi,immbl
U+2A7AF	𪞯	imyro
U+2A7B0	𪞰	imanf
U+2A7B1	𪞱	jbhn
U+2A7B2	𪞲	hnyr
U+2A7B3	𪞳	hphn
U+2A7B4	𪞴	hnyrj
U+2A7B5	𪞵	hnmbm,hnmbs
U+2A7B6	𪞶	uom
U+2A7B7	𪞷	uut
U+2A7B8	𪞸	yuoj
U+2A7B9	𪞹	uushp,uusip
U+2A7BA	𪞺	uubdu
U+2A7BB	𪞻	yurmk,yurvk
U+2A7BC	𪞼	yutgo
U+2A7BD	𪞽	yutwv
U+2A7BE	𪞾	qoln
U+2A7BF	𪞿	puln
U+2A7C0	𪟀	shyhs
U+2A7C1	𪟁	ieln
U+2A7C2	𪟂	yrsh
U+2A7C3	𪟃	kkln
U+2A7C4	𪟄	tuln
U+2A7C5	𪟅	imdkn
U+2A7C6	𪟆	ybln
U+2A7C7	𪟇	hcln
U+2A7C8	𪟈	jaln
U+2A7C9	𪟉	ksln
U+2A7CA	𪟊	mcsh
U+2A7CB	𪟋	tjln
U+2A7CC	𪟌	gtln
U+2A7CD	𪟍	ybln
U+2A7CE	𪟎	ltln
U+2A7CF	𪟏	hgln
U+2A7D0	𪟐	chbsd,chnsd
U+2A7D1	𪟑	yrcsh
U+2A7D2	𪟒	ysokn
U+2A7D3	𪟓	shndp
U+2A7D4	𪟔	wrln
U+2A7D5	𪟕	hcln
U+2A7D6	𪟖	ltln
U+2A7D7	𪟗	krmn
U+2A7D8	𪟘	omks
U+2A7D9	𪟙	aiks
U+2A7DA	𪟚	nrks
U+2A7DB	𪟛	eiks,ekks
U+2A7DC	𪟜	ehks
U+2A7DD	𪟝	qoks
U+2A7DE	𪟞	wsdh
U+2A7DF	𪟟	nuks
U+2A7E0	𪟠	yaks
U+2A7E1	𪟡	wsmnr
U+2A7E2	𪟢	ctks,ttks
U+2A7E3	𪟣	rbks
U+2A7E4	𪟤	mtwks
U+2A7E5	𪟥	tjks
