U+2B820	𫠠	jv,xxjv
U+2B821	𫠡	mol,xmol
U+2B822	𫠢	ymmn
U+2B823	𫠣	kvnd,kvsc,xkvnd
U+2B824	𫠤	gyhs	[u],qms,xgyhs	[u]
U+2B825	𫠥	vmob,xxvmo
U+2B826	𫠦	mlin
U+2B827	𫠧	ojmy
U+2B828	𫠨	hrm
U+2B829	𫠩	mvii
U+2B82A	𫠪	vioy
U+2B82B	𫠫	mfmmu
U+2B82C	𫠬	mfl,xmfl
U+2B82D	𫠭	mfmf
U+2B82E	𫠮	mgmy
U+2B82F	𫠯	mtmy
U+2B830	𫠰	myhqi
U+2B831	𫠱	mamm
U+2B832	𫠲	mftw
U+2B833	𫠳	myomb
U+2B834	𫠴	omomi
U+2B835	𫠵	mubmm
U+2B836	𫠶	mfymb
U+2B837	𫠷	ymoqq
U+2B838	𫠸	ymefb
U+2B839	𫠹	ymibp
U+2B83A	𫠺	ymavp
U+2B83B	𫠻	mfoyr
U+2B83C	𫠼	ymqro
U+2B83D	𫠽	ympqb
U+2B83E	𫠾	jlwc
U+2B83F	𫠿	ymnot
U+2B840	𫡀	tcykl
U+2B841	𫡁	cmcc	[u],hcttc	[u],tcttc
U+2B842	𫡂	ccttc	[u],hcttc	[u],tcttc,xhctt	[u],xtctt
U+2B843	𫡃	lml
U+2B844	𫡄	nsl
U+2B845	𫡅	vlvl
U+2B846	𫡆	ala
U+2B847	𫡇	chl
U+2B848	𫡈	lgjl
U+2B849	𫡉	jdl
U+2B84A	𫡊	lgjl,xlgjl
U+2B84B	𫡋	ltnq
U+2B84C	𫡌	llfqu
U+2B84D	𫡍	okogl
U+2B84E	𫡎	mrll
U+2B84F	𫡏	oh,xoh
U+2B850	𫡐	nsnn
U+2B851	𫡑	ooo
U+2B852	𫡒	hbg
U+2B853	𫡓	nnho
U+2B854	𫡔	olmys
U+2B855	𫡕	hije
U+2B856	𫡖	hgnq
U+2B857	𫡗	qjnq
U+2B858	𫡘	hgdk,xhgdk
U+2B859	𫡙	hqlp
U+2B85A	𫡚	hrmd
U+2B85B	𫡛	knino
U+2B85C	𫡜	hrlxh
U+2B85D	𫡝	nsamo
U+2B85E	𫡞	hryts
U+2B85F	𫡟	otfyv
U+2B860	𫡠	nowlc
U+2B861	𫡡	hkrbo
U+2B862	𫡢	ng,xxxng
U+2B863	𫡣	nok
U+2B864	𫡤	knknn
U+2B865	𫡥	nomr,xnomr
U+2B866	𫡦	ohkn
U+2B867	𫡧	nhgi,nmgi	[u]
U+2B868	𫡨	nije
U+2B869	𫡩	pdpdd
U+2B86A	𫡪	ntmd
U+2B86B	𫡫	njbj
U+2B86C	𫡬	kirob	[u],kkrob
U+2B86D	𫡭	gnwg,xgnwg
U+2B86E	𫡮	xynfd,ynfd
U+2B86F	𫡯	jjnb
U+2B870	𫡰	knmaj
U+2B871	𫡱	eemm
U+2B872	𫡲	mmmy
U+2B873	𫡳	ttnq
U+2B874	𫡴	myum
U+2B875	𫡵	mmjbj
U+2B876	𫡶	mitmv,xmitm
U+2B877	𫡷	mmma
U+2B878	𫡸	mmjm
U+2B879	𫡹	mogm,xmogm
U+2B87A	𫡺	yug
U+2B87B	𫡻	yvrb
U+2B87C	𫡼	ywbu
U+2B87D	𫡽	ykrhr
U+2B87E	𫡾	yvprb
U+2B87F	𫡿	ywrd
U+2B880	𫢀	ywri
U+2B881	𫢁	yryrf
U+2B882	𫢂	yrfm
U+2B883	𫢃	ykrhg,ykrmg,ynrhg,ynrmg
U+2B884	𫢄	ykmrw,ynmrw
U+2B885	𫢅	om
U+2B886	𫢆	omvs
U+2B887	𫢇	oll,xoll
U+2B888	𫢈	osh
U+2B889	𫢉	omj,xomj
U+2B88A	𫢊	cf,col,xxcf
U+2B88B	𫢋	omk,xomk
U+2B88C	𫢌	oby
U+2B88D	𫢍	hlo,xxhlo
U+2B88E	𫢎	oihu
U+2B88F	𫢏	onm,ossm,xonm
U+2B890	𫢐	onq
U+2B891	𫢑	oqk
U+2B892	𫢒	oikp
U+2B893	𫢓	olk
U+2B894	𫢔	olls
U+2B895	𫢕	oomh
U+2B896	𫢖	onsl,onsn	[u]
U+2B897	𫢗	oohh
U+2B898	𫢘	oedi
U+2B899	𫢙	omis
U+2B89A	𫢚	olmv
U+2B89B	𫢛	ooye
U+2B89C	𫢜	ockl
U+2B89D	𫢝	ojmd
U+2B89E	𫢞	omcw
U+2B89F	𫢟	ombo,xombo
U+2B8A0	𫢠	ots
U+2B8A1	𫢡	ofht
U+2B8A2	𫢢	oymg
U+2B8A3	𫢣	ooin,ooln	[u]
U+2B8A4	𫢤	ohau
U+2B8A5	𫢥	obvk,xobvk
U+2B8A6	𫢦	ojki
U+2B8A7	𫢧	oykr
U+2B8A8	𫢨	olsp
U+2B8A9	𫢩	spoin
U+2B8AA	𫢪	oykq
U+2B8AB	𫢫	oppt
U+2B8AC	𫢬	otbs
U+2B8AD	𫢭	otis
U+2B8AE	𫢮	otop
U+2B8AF	𫢯	otmh
U+2B8B0	𫢰	oaht
U+2B8B1	𫢱	owlt
U+2B8B2	𫢲	oleo
U+2B8B3	𫢳	ohwu
U+2B8B4	𫢴	oooo
U+2B8B5	𫢵	oimy,ommy	[u]
U+2B8B6	𫢶	oiyr,xoiyr
U+2B8B7	𫢷	oyrd
U+2B8B8	𫢸	ocwj
