U+2CEB0	𬺰	jn,xjn
U+2CEB1	𬺱	jh,xjh
U+2CEB2	𬺲	hnm,xhnm
U+2CEB3	𬺳	msh,xmsh
U+2CEB4	𬺴	smm,xxsmm
U+2CEB5	𬺵	mqs,xmqs
U+2CEB6	𬺶	mlvn
U+2CEB7	𬺷	msh,xxmsh
U+2CEB8	𬺸	fjs
U+2CEB9	𬺹	smm
U+2CEBA	𬺺	ljs
U+2CEBB	𬺻	mshh
U+2CEBC	𬺼	mnpd
U+2CEBD	𬺽	pkp
U+2CEBE	𬺾	ylu
U+2CEBF	𬺿	jli
U+2CEC0	𬻀	tt
U+2CEC1	𬻁	myg,xmyg
U+2CEC2	𬻂	jtj,xjtj
U+2CEC3	𬻃	mhnl,xmhnl
U+2CEC4	𬻄	mnmnn,xmnmn
U+2CEC5	𬻅	mnyc
U+2CEC6	𬻆	nmsm
U+2CEC7	𬻇	mllw
U+2CEC8	𬻈	nmnlm
U+2CEC9	𬻉	mwh
U+2CECA	𬻊	mkmy
U+2CECB	𬻋	tti,xxtti
U+2CECC	𬻌	jwlo
U+2CECD	𬻍	jwlh
U+2CECE	𬻎	pksr
U+2CECF	𬻏	nlym
U+2CED0	𬻐	mamn
U+2CED1	𬻑	ninym
U+2CED2	𬻒	jvs
U+2CED3	𬻓	ipmy
U+2CED4	𬻔	mbmi
U+2CED5	𬻕	mcwm,xmcwm
U+2CED6	𬻖	mnnau
U+2CED7	𬻗	mnbsd	[u],mnnsd,xmnns
U+2CED8	𬻘	sksk,xsksk
U+2CED9	𬻙	qpmy
U+2CEDA	𬻚	romn
U+2CEDB	𬻛	mfgi,xmfgi
U+2CEDC	𬻜	mmtm
U+2CEDD	𬻝	otm,xotm
U+2CEDE	𬻞	bssm
U+2CEDF	𬻟	mtji
U+2CEE0	𬻠	mrrk,xmrrk
U+2CEE1	𬻡	qtmy
U+2CEE2	𬻢	dtyj
U+2CEE3	𬻣	mnjch
U+2CEE4	𬻤	vmmn
U+2CEE5	𬻥	qmnlm
U+2CEE6	𬻦	mtjnk
U+2CEE7	𬻧	jbbm
U+2CEE8	𬻨	kimy
U+2CEE9	𬻩	dvmy
U+2CEEA	𬻪	mmhqi
U+2CEEB	𬻫	jlbm
U+2CEEC	𬻬	fbram
U+2CEED	𬻭	hiyit
