U+2F00	⼀	zrm
U+2F01	⼁	zrl
U+2F02	⼂	zri
U+2F03	⼃	zrh
U+2F04	⼄	zrnu
U+2F05	⼅	zrn
U+2F06	⼆	zrmm
U+2F07	⼇	zrim
U+2F08	⼈	zro
U+2F09	⼉	zrlu
U+2F0A	⼊	zroh
U+2F0B	⼋	zrho
U+2F0C	⼌	zrls
U+2F0D	⼍	zrin,zrln
U+2F0E	⼎	zrim
U+2F0F	⼏	zrhn
U+2F10	⼐	zrvl
U+2F11	⼑	zrsh
U+2F12	⼒	zrks
U+2F13	⼓	zrhs
U+2F14	⼔	zruh
U+2F15	⼕	zrmv
U+2F16	⼖	zrmv
U+2F17	⼗	zrj
U+2F18	⼘	zry
U+2F19	⼙	zrsl
U+2F1A	⼚	zrmh
U+2F1B	⼛	zrvi
U+2F1C	⼜	zrnk
U+2F1D	⼝	zrr
U+2F1E	⼞	zrbm
U+2F1F	⼟	zrg
U+2F20	⼠	zrjm
U+2F21	⼡	zrhe
U+2F22	⼢	zrhe
U+2F23	⼣	zrni
U+2F24	⼤	zrk
U+2F25	⼥	zrv
U+2F26	⼦	zrnd
U+2F27	⼧	zrib
U+2F28	⼨	zrdi
U+2F29	⼩	zrnc
U+2F2A	⼪	zrku
U+2F2B	⼫	zrs
U+2F2C	⼬	zruh,zrul
U+2F2D	⼭	zru
U+2F2E	⼮	zrvvv
U+2F2F	⼯	zrmlm
U+2F30	⼰	zrsu
U+2F31	⼱	zrlb
U+2F32	⼲	zrmj
U+2F33	⼳	zrvi
U+2F34	⼴	zryh
U+2F35	⼵	zrnnk
U+2F36	⼶	zrjj,zrkj
U+2F37	⼷	zrip
U+2F38	⼸	zrn
U+2F39	⼹	zrnmm
U+2F3A	⼺	zrhhh
U+2F3B	⼻	zrho
U+2F3C	⼼	zrp
U+2F3D	⼽	zri
U+2F3E	⼾	zrhs
U+2F3F	⼿	zrq
U+2F40	⽀	zrje
U+2F41	⽁	zrye
U+2F42	⽂	zryk
U+2F43	⽃	zryj
